word	pos	level	freq
aujourd'hui	ADV	A1	711.1
d'abord	ADV	A1	318.5
d'accord	ADV	A1	206.6
qu'	ADV	A1	69.2
chevalier	NOM	A1	68.4
sympa	ADJ	A1	67.4
brun	ADJ	A1	43.3
cheminée	NOM	A1	38.0
terrasse	NOM	A1	34.9
ben	ADV	A1	33.9
copine	NOM	A1	31.5
promenade	NOM	A1	30.4
prof	NOM	A1	28.7
grotte	NOM	A1	28.7
maths	NOM	A1	28.2
grands-parents	NOM	A1	27.6
nouvelle	NOM	A1	27.6
piscine	NOM	A1	27.3
arrondissement	NOM	A1	24.9
supermarché	NOM	A1	21.9
salade	NOM	A1	19.9
parking	NOM	A1	18.7
âne	NOM	A1	16.9
jean	NOM	A1	15.9
décorer	VER	A1	15.4
dessert	NOM	A1	15.3
pull	NOM	A1	14.7
jus	NOM	A1	14.5
confiture	NOM	A1	14.3
bicyclette	NOM	A1	14.3
délicieux	ADJ	A1	13.9
moulin	NOM	A1	13.9
ascenseur	NOM	A1	13.5
riz	NOM	A1	13.4
décoration	NOM	A1	13.3
balade	NOM	A1	13.0
tomate	NOM	A1	12.2
tiroir	NOM	A1	11.9
bise	NOM	A1	11.4
cathédrale	NOM	A1	11.4
sapin	NOM	A1	11.1
antiquité	NOM	A1	10.8
préféré	ADJ	A1	10.4
bienvenir	VER	A1	10.1
champagne	NOM	A1	9.3
pâté	NOM	A1	9.3
zoé	NOM	A1	9.3
informaticien	NOM	A1	9.0
pyramide	NOM	A1	8.9
foot	NOM	A1	8.7
camping	NOM	A1	8.6
bis	ADJ	A1	8.6
farine	NOM	A1	8.2
serpent	NOM	A1	8.2
buffet	NOM	A1	8.2
adorable	ADJ	A1	8.1
falaise	NOM	A1	8.0
apéritif	NOM	A1	7.8
crêpe	NOM	A1	7.0
boulanger	ADJ	A1	6.7
inauguration	NOM	A1	6.6
cantine	NOM	A1	5.5
réveillon	NOM	A1	5.0
blouson	NOM	A1	5.0
pers	ADJ	A1	3.6
mule	NOM	A1	3.3
tartine	NOM	A1	2.2
tommy	NOM	A1	0.8
auberge	NOM	A2	64.9
épée	NOM	A2	44.0
veste	NOM	A2	42.6
exclamer	VER	A2	34.2
bac	NOM	A2	25.7
tranquillement	ADV	A2	23.6
fan	NOM	A2	22.2
bêtise	NOM	A2	21.2
animation	NOM	A2	20.5
opéra	NOM	A2	19.4
jaloux	ADJ	A2	19.1
lapin	NOM	A2	18.1
sculpture	NOM	A2	17.6
fatigué	ADJ	A2	16.8
baguette	NOM	A2	16.2
bouquet	NOM	A2	16.1
fac	NOM	A2	15.9
exotique	ADJ	A2	15.2
neveu	NOM	A2	15.1
écharpe	NOM	A2	14.3
douche	NOM	A2	14.0
randonnée	NOM	A2	13.7
francophonie	NOM	A2	13.4
héler	VER	A2	13.4
brave	ADJ	A2	13.0
hygiène	NOM	A2	12.5
soulier	NOM	A2	12.0
addition	NOM	A2	11.6
botte	NOM	A2	11.4
salutation	NOM	A2	11.3
souriant	ADJ	A2	11.0
renaissance	NOM	A2	10.7
panorama	NOM	A2	10.7
colorer	VER	A2	10.3
affoler	VER	A2	10.2
culinaire	ADJ	A2	9.9
bavarder	VER	A2	9.8
bistrot	NOM	A2	9.4
inoubliable	ADJ	A2	9.4
basket	NOM	A2	9.0
éclairage	NOM	A2	9.0
canne	NOM	A2	8.3
guitare	NOM	A2	8.2
recomposer	VER	A2	8.1
artifice	NOM	A2	8.1
vexer	VER	A2	8.0
cultivé	ADJ	A2	8.0
centre-ville	NOM	A2	7.5
pré	NOM	A2	7.5
crèche	NOM	A2	7.4
dévorer	VER	A2	7.4
illuminer	VER	A2	7.4
yaourt	NOM	A2	7.3
perle	NOM	A2	7.3
polluant	ADJ	A2	7.2
feuilleton	NOM	A2	7.1
resto	NOM	A2	7.0
cuisinier	NOM	A2	6.9
boulangerie	NOM	A2	6.9
médiéval	ADJ	A2	6.8
dessinateur	NOM	A2	6.7
tarte	NOM	A2	6.6
dentiste	NOM	A2	6.6
chic	ADJ	A2	6.4
fontaine	NOM	A2	6.4
luire	VER	A2	6.4
grillé	ADJ	A2	6.2
ennuyeux	ADJ	A2	6.0
coiffer	VER	A2	6.0
bisou	NOM	A2	5.9
créole	NOM	A2	5.5
charcuterie	NOM	A2	5.4
chèvre	NOM	A2	5.4
admirable	ADJ	A2	5.3
poupée	NOM	A2	5.3
parapluie	NOM	A2	5.2
piéton	ADJ	A2	5.1
fatigant	ADJ	A2	5.1
brésilien	ADJ	A2	5.1
vestige	NOM	A2	5.0
console	NOM	A2	5.0
mignon	ADJ	A2	4.9
dinde	NOM	A2	4.8
beau-frère	NOM	A2	4.7
grenouille	NOM	A2	4.6
terrifiant	ADJ	A2	4.5
ciné	NOM	A2	4.4
tapisserie	NOM	A2	4.4
rosier	NOM	A2	4.2
australien	ADJ	A2	4.2
petite-fille	NOM	A2	4.1
déguster	VER	A2	4.1
gramme	NOM	A2	4.1
saucisson	NOM	A2	3.9
maquette	NOM	A2	3.9
pourboire	NOM	A2	3.8
métropole	NOM	A2	3.8
cire	NOM	A2	3.8
escargot	NOM	A2	3.8
jazz	NOM	A2	3.7
natation	NOM	A2	3.7
écurie	NOM	A2	3.6
présentateur	NOM	A2	3.6
saumon	NOM	A2	3.5
ajoute	NOM	A2	3.5
banane	NOM	A2	3.5
épicer	VER	A2	3.4
beaux-arts	NOM	A2	3.4
collectionneur	NOM	A2	3.2
marron	ADJ	A2	3.1
bowling	NOM	A2	3.1
belle-mère	NOM	A2	3.0
caissier	NOM	A2	2.9
pharmacie	NOM	A2	2.8
olive	NOM	A2	2.7
marre	ADV	A2	2.7
margot	NOM	A2	2.6
abricot	NOM	A2	2.6
muser	VER	A2	2.6
hors-d'oeuvre	NOM	A2	2.5
photocopie	NOM	A2	2.5
fumé	ADJ	A2	2.4
férié	ADJ	A2	2.4
répondeur	NOM	A2	2.4
décontracter	VER	A2	2.4
hypermarché	NOM	A2	2.3
monumental	ADJ	A2	2.3
spaghetti	NOM	A2	2.3
mural	ADJ	A2	2.2
pétanque	NOM	A2	2.1
sirop	NOM	A2	2.1
rhum	NOM	A2	2.0
ré	NOM	A2	1.9
marrant	ADJ	A2	1.8
pâtisserie	NOM	A2	1.7
mistral	NOM	A2	1.7
mi	NOM	A2	1.7
cidre	NOM	A2	1.6
ensoleiller	VER	A2	1.5
outre-mer	ADV	A2	1.5
minéral	ADJ	A2	1.5
éplucher	VER	A2	1.4
oignon	NOM	A2	1.4
archéologue	NOM	A2	1.4
numéroter	VER	A2	1.3
laitier	ADJ	A2	1.3
collectionner	VER	A2	1.3
menthe	NOM	A2	1.3
couscous	NOM	A2	1.2
restau	NOM	A2	1.1
épice	NOM	A2	1.1
châtain	ADJ	A2	1.0
sardine	NOM	A2	0.9
apprenti	NOM	A2	0.9
skier	VER	A2	0.9
pamplemousse	NOM	A2	0.6
rabat	NOM	A2	0.6
épeler	VER	A2	0.6
concombre	NOM	A2	0.6
zoo	NOM	A2	0.6
pat	ADJ	A2	0.2
d'ailleurs	ADV	B1	122.0
est-à-dire	ADV	B1	69.1
robot	NOM	B1	30.3
bague	NOM	B1	22.1
fée	NOM	B1	20.2
habit	NOM	B1	19.9
végétal	ADJ	B1	19.8
là-haut	ADV	B1	19.7
redescendre	VER	B1	19.6
roux	ADJ	B1	18.8
barbe	NOM	B1	18.8
misérable	ADJ	B1	18.4
sentier	NOM	B1	18.4
grippe	NOM	B1	18.3
linge	NOM	B1	17.9
remuer	VER	B1	17.5
plaisanterie	NOM	B1	17.5
dragon	NOM	B1	17.0
psychologue	NOM	B1	16.6
rougir	VER	B1	16.1
concierge	NOM	B1	15.7
lion	NOM	B1	15.5
fumeur	NOM	B1	15.3
jupe	NOM	B1	15.0
énerver	VER	B1	14.5
silhouette	NOM	B1	14.3
éclair	NOM	B1	14.3
pousse	NOM	B1	13.9
berger	NOM	B1	13.6
armoire	NOM	B1	13.4
celer	VER	B1	13.2
serviteur	NOM	B1	13.1
plaine	NOM	B1	12.9
laid	ADJ	B1	12.8
horloge	NOM	B1	12.7
éducatif	ADJ	B1	12.6
serviette	NOM	B1	12.6
convivialité	NOM	B1	12.6
coq	NOM	B1	12.5
tailleur	NOM	B1	12.3
varié	ADJ	B1	12.3
fiancé	NOM	B1	12.1
bruire	VER	B1	11.9
cracher	VER	B1	11.7
drap	NOM	B1	11.6
émerveiller	VER	B1	11.5
centimètre	NOM	B1	11.4
particularité	NOM	B1	11.4
insolite	ADJ	B1	11.3
passant	NOM	B1	11.0
chauffer	VER	B1	11.0
murmure	NOM	B1	10.7
ailler	VER	B1	10.6
colocation	NOM	B1	10.3
rez-de-chaussée	NOM	B1	10.3
sculpteur	NOM	B1	10.2
politesse	NOM	B1	10.1
intriguer	VER	B1	10.1
gaulois	ADJ	B1	9.9
évanouir	VER	B1	9.9
dispute	NOM	B1	9.8
taureau	NOM	B1	9.7
poison	NOM	B1	9.7
tambour	NOM	B1	9.6
barque	NOM	B1	9.6
brevet	NOM	B1	9.5
empoisonner	VER	B1	9.5
pic	NOM	B1	9.5
mouiller	VER	B1	9.4
cachette	NOM	B1	9.4
villa	NOM	B1	9.4
originalité	NOM	B1	9.2
tasse	NOM	B1	9.1
sourcil	NOM	B1	9.1
cavalier	NOM	B1	9.0
retracer	VER	B1	8.9
cocher	NOM	B1	8.9
tri	NOM	B1	8.7
maghrébin	ADJ	B1	8.7
sélectif	ADJ	B1	8.6
vase	NOM	B1	8.5
cueillir	VER	B1	8.4
frotter	VER	B1	8.0
arène	NOM	B1	8.0
sénéchal	NOM	B1	8.0
mouchoir	NOM	B1	8.0
grenier	NOM	B1	7.9
aboyer	VER	B1	7.9
imbécile	NOM	B1	7.7
embouteillage	NOM	B1	7.7
magie	NOM	B1	7.6
jalousie	NOM	B1	7.6
exotisme	NOM	B1	7.6
initiation	NOM	B1	7.6
étonnement	NOM	B1	7.5
dentelle	NOM	B1	7.5
palme	NOM	B1	7.4
diamètre	NOM	B1	7.4
bûcheron	NOM	B1	7.2
ruban	NOM	B1	7.2
job	NOM	B1	7.2
placard	NOM	B1	7.1
tousser	VER	B1	7.1
ticket	NOM	B1	7.1
sandwich	NOM	B1	7.0
écologie	NOM	B1	6.9
gêné	ADJ	B1	6.9
fabuleux	ADJ	B1	6.9
arroser	VER	B1	6.8
payant	ADJ	B1	6.8
servante	NOM	B1	6.8
détective	NOM	B1	6.8
lenteur	NOM	B1	6.8
adepte	NOM	B1	6.7
cabane	NOM	B1	6.7
fécondité	NOM	B1	6.6
cravate	NOM	B1	6.6
fantaisie	NOM	B1	6.5
abbaye	NOM	B1	6.4
vigne	NOM	B1	6.4
sire	NOM	B1	6.3
petits-enfants	NOM	B1	6.3
talon	NOM	B1	6.3
cohabitation	NOM	B1	6.3
douer	VER	B1	6.3
paille	NOM	B1	6.2
mouche	NOM	B1	6.1
fleurir	VER	B1	6.1
gant	NOM	B1	6.0
interactif	ADJ	B1	6.0
mamie	NOM	B1	6.0
corrida	NOM	B1	5.9
révolutionner	VER	B1	5.9
sabot	NOM	B1	5.9
recueil	NOM	B1	5.9
cycliste	NOM	B1	5.9
violet	ADJ	B1	5.9
couturier	NOM	B1	5.9
tigre	NOM	B1	5.9
cinématographique	ADJ	B1	5.8
élégance	NOM	B1	5.8
bagarre	NOM	B1	5.7
mesdames	NOM	B1	5.7
réservation	NOM	B1	5.7
frigo	NOM	B1	5.7
veau	NOM	B1	5.7
carrefour	NOM	B1	5.7
brigadier	NOM	B1	5.7
mécher	VER	B1	5.7
lame	NOM	B1	5.6
régaler	VER	B1	5.6
préfecture	NOM	B1	5.5
tee-shirt	NOM	B1	5.5
éblouir	VER	B1	5.5
coach	NOM	B1	5.5
rhume	NOM	B1	5.4
habile	ADJ	B1	5.4
frôler	VER	B1	5.4
bonnet	NOM	B1	5.4
pique-nique	NOM	B1	5.3
flore	NOM	B1	5.3
insécurité	NOM	B1	5.3
paternité	NOM	B1	5.3
déshabiller	VER	B1	5.3
bonbon	NOM	B1	5.2
saucisse	NOM	B1	5.2
monte	NOM	B1	5.2
faune	NOM	B1	5.2
cassé	ADJ	B1	5.1
bougie	NOM	B1	5.1
siffler	VER	B1	5.1
tristement	ADV	B1	5.1
fièrement	ADV	B1	5.1
étagère	NOM	B1	5.1
bricolage	NOM	B1	5.1
ogre	NOM	B1	5.0
breton	ADJ	B1	5.0
marathon	NOM	B1	5.0
chandelier	NOM	B1	4.9
déserter	VER	B1	4.9
coudre	VER	B1	4.8
curieusement	ADV	B1	4.8
tourmenter	VER	B1	4.8
vaisselle	NOM	B1	4.7
violemment	ADV	B1	4.7
interprète	NOM	B1	4.7
réapparaître	VER	B1	4.6
blouse	NOM	B1	4.6
cigare	NOM	B1	4.6
hache	NOM	B1	4.5
désespérément	ADV	B1	4.5
pizza	NOM	B1	4.5
grecque	ADJ	B1	4.5
dorer	VER	B1	4.5
foncer	VER	B1	4.4
imposant	ADJ	B1	4.4
gênant	ADJ	B1	4.3
invite	NOM	B1	4.3
dramaturge	NOM	B1	4.3
frissonner	VER	B1	4.3
rentraire	VER	B1	4.3
aiguille	NOM	B1	4.3
science-fiction	NOM	B1	4.2
paresseux	ADJ	B1	4.2
médiathèque	NOM	B1	4.2
désarmer	VER	B1	4.1
pli	NOM	B1	4.1
maillot	NOM	B1	4.1
sursauter	VER	B1	4.1
patiemment	ADV	B1	4.1
demoiselle	NOM	B1	4.1
documentaire	NOM	B1	4.1
respiration	NOM	B1	4.1
baccalauréat	NOM	B1	4.1
caresse	NOM	B1	4.1
cendrillon	NOM	B1	4.0
nommé	ADJ	B1	4.0
monarchie	NOM	B1	4.0
nappe	NOM	B1	3.9
design	NOM	B1	3.9
sèche	ADJ	B1	3.9
caserne	NOM	B1	3.9
tuyau	NOM	B1	3.9
marteau	NOM	B1	3.9
mets	NOM	B1	3.9
feuillage	NOM	B1	3.8
excursion	NOM	B1	3.8
corne	NOM	B1	3.8
bruyant	ADJ	B1	3.8
préhistorique	ADJ	B1	3.8
répertoire	NOM	B1	3.7
robotique	NOM	B1	3.7
écureuil	NOM	B1	3.7
roche	NOM	B1	3.7
fût	NOM	B1	3.7
littoral	NOM	B1	3.7
orthographe	NOM	B1	3.7
poubelle	NOM	B1	3.7
porcelaine	NOM	B1	3.7
mobylette	NOM	B1	3.6
agresser	VER	B1	3.6
champignon	NOM	B1	3.6
halte	NOM	B1	3.6
mesdemoiselles	NOM	B1	3.6
périple	NOM	B1	3.6
communion	NOM	B1	3.6
bonté	NOM	B1	3.5
bonhomme	NOM	B1	3.5
déçu	ADJ	B1	3.5
mac	NOM	B1	3.5
propreté	NOM	B1	3.5
pique-niquer	VER	B1	3.5
tombée	NOM	B1	3.5
démolir	VER	B1	3.5
couvercle	NOM	B1	3.5
bronze	NOM	B1	3.4
tendrement	ADV	B1	3.4
crayon	NOM	B1	3.4
frite	NOM	B1	3.4
fraîcheur	NOM	B1	3.4
pureté	NOM	B1	3.4
lâche	ADJ	B1	3.4
serrure	NOM	B1	3.4
ménestrel	NOM	B1	3.4
lavabo	NOM	B1	3.4
aspirateur	NOM	B1	3.3
joyeusement	ADV	B1	3.3
contagieux	ADJ	B1	3.3
choquant	ADJ	B1	3.3
bizarrement	ADV	B1	3.3
durcir	VER	B1	3.2
aérer	VER	B1	3.2
stand	NOM	B1	3.2
féminisme	NOM	B1	3.2
moralité	NOM	B1	3.2
colocataire	NOM	B1	3.2
métallique	ADJ	B1	3.1
escalade	NOM	B1	3.1
bohémien	NOM	B1	3.1
citadin	NOM	B1	3.1
cinéaste	NOM	B1	3.1
épingle	NOM	B1	3.1
lessive	NOM	B1	3.1
paquebot	NOM	B1	3.1
songe	NOM	B1	3.1
renard	NOM	B1	3.0
tous	NOM	B1	3.0
jambon	NOM	B1	3.0
doctorat	NOM	B1	3.0
brûlant	ADJ	B1	3.0
décharge	NOM	B1	3.0
féministe	ADJ	B1	2.9
rêverie	NOM	B1	2.9
prairie	NOM	B1	2.9
patienter	VER	B1	2.9
ferment	NOM	B1	2.9
square	NOM	B1	2.9
indigner	VER	B1	2.9
débutant	ADJ	B1	2.9
guillotine	NOM	B1	2.8
filtre	NOM	B1	2.8
abondant	ADJ	B1	2.8
seau	NOM	B1	2.8
belle-fille	NOM	B1	2.8
bouillir	VER	B1	2.8
faiblement	ADV	B1	2.7
perfectionner	VER	B1	2.7
mi-temps	NOM	B1	2.7
flash	NOM	B1	2.7
déprimer	VER	B1	2.7
salir	VER	B1	2.7
high-tech	ADJ	B1	2.7
embrasse	NOM	B1	2.7
magicien	NOM	B1	2.7
pressé	ADJ	B1	2.7
short	NOM	B1	2.6
spacieux	ADJ	B1	2.6
subventionner	VER	B1	2.6
tonneau	NOM	B1	2.6
carburer	VER	B1	2.6
castagnettes	NOM	B1	2.6
remarier	VER	B1	2.6
ruisseau	NOM	B1	2.6
camper	VER	B1	2.6
lilas	NOM	B1	2.5
pressant	ADJ	B1	2.5
indemne	ADJ	B1	2.5
amande	NOM	B1	2.5
bourgade	NOM	B1	2.5
rallumer	VER	B1	2.5
celtique	ADJ	B1	2.5
mélodie	NOM	B1	2.5
bavard	ADJ	B1	2.5
savoureux	ADJ	B1	2.5
déesse	NOM	B1	2.5
chausser	VER	B1	2.5
surgeler	VER	B1	2.5
carafe	NOM	B1	2.4
fréquentation	NOM	B1	2.4
lyonnais	ADJ	B1	2.4
automobiliste	NOM	B1	2.4
aventurier	NOM	B1	2.4
solennel	ADJ	B1	2.4
silencieusement	ADV	B1	2.4
adoptif	ADJ	B1	2.4
copieux	ADJ	B1	2.4
gratter	VER	B1	2.4
carrosse	NOM	B1	2.4
maigrir	VER	B1	2.3
tremblant	ADJ	B1	2.3
tambourin	NOM	B1	2.3
énigmatique	ADJ	B1	2.3
secrètement	ADV	B1	2.3
adroit	ADJ	B1	2.3
gîte	NOM	B1	2.2
smoking	NOM	B1	2.2
gallo-romain	ADJ	B1	2.2
pirogue	NOM	B1	2.2
armure	NOM	B1	2.2
éternité	NOM	B1	2.2
télécommande	NOM	B1	2.1
frire	VER	B1	2.1
pelote	NOM	B1	2.1
sirène	NOM	B1	2.1
relique	NOM	B1	2.1
plongeur	NOM	B1	2.1
fourchette	NOM	B1	2.0
menton	NOM	B1	2.0
héberger	VER	B1	2.0
mourant	ADJ	B1	2.0
camionnette	NOM	B1	2.0
tilleul	NOM	B1	2.0
muscler	VER	B1	2.0
soigné	ADJ	B1	2.0
papi	NOM	B1	2.0
bourgeoisie	NOM	B1	2.0
laine	NOM	B1	1.9
moustache	NOM	B1	1.9
dernièrement	ADV	B1	1.9
gratitude	NOM	B1	1.9
cirer	VER	B1	1.9
bouclier	NOM	B1	1.9
gelée	NOM	B1	1.9
volcan	NOM	B1	1.9
poire	NOM	B1	1.9
monastère	NOM	B1	1.9
brume	NOM	B1	1.9
celte	ADJ	B1	1.9
stupéfaction	NOM	B1	1.9
caillou	NOM	B1	1.8
reggae	NOM	B1	1.8
typiquement	ADV	B1	1.8
résidu	NOM	B1	1.8
centraliser	VER	B1	1.8
déménagement	NOM	B1	1.8
épicerie	NOM	B1	1.8
menteur	NOM	B1	1.7
pop	ADJ	B1	1.7
synthétique	ADJ	B1	1.7
édifier	VER	B1	1.7
fascination	NOM	B1	1.7
courageusement	ADV	B1	1.7
dominical	ADJ	B1	1.6
cesse	NOM	B2	36.1
d'autant	ADV	B2	31.8
sociologue	NOM	B2	29.3
bal	NOM	B2	27.2
pipe	NOM	B2	22.5
associatif	ADJ	B2	18.6
vieillissement	NOM	B2	16.5
cérébral	ADJ	B2	16.3
réchauffement	NOM	B2	16.1
clou	NOM	B2	14.0
marketing	NOM	B2	13.3
volaille	NOM	B2	12.9
nostalgie	NOM	B2	12.5
recenser	VER	B2	12.1
surnommer	VER	B2	11.4
précarité	NOM	B2	10.5
vaccin	NOM	B2	10.5
modernité	NOM	B2	10.4
assassinat	NOM	B2	10.4
valoriser	VER	B2	10.4
hectare	NOM	B2	10.2
méditerranéen	ADJ	B2	10.1
bactérie	NOM	B2	10.0
balcon	NOM	B2	9.9
cardinal	NOM	B2	9.8
tranquillité	NOM	B2	9.7
enfiler	VER	B2	9.7
polir	VER	B2	9.6
coupole	NOM	B2	9.5
plantation	NOM	B2	9.4
puce	NOM	B2	9.2
noce	NOM	B2	9.0
cognitif	ADJ	B2	8.7
carbone	NOM	B2	8.7
journalisme	NOM	B2	8.6
matelas	NOM	B2	8.6
libraire	NOM	B2	8.6
rite	NOM	B2	8.5
décalage	NOM	B2	8.5
paradoxalement	ADV	B2	8.5
centime	NOM	B2	8.4
bruir	VER	B2	8.4
calmement	ADV	B2	8.3
sécher	VER	B2	8.1
évader	VER	B2	8.0
soja	NOM	B2	8.0
biodiversité	NOM	B2	8.0
abeille	NOM	B2	8.0
affectif	ADJ	B2	7.9
adhérent	NOM	B2	7.9
créativité	NOM	B2	7.8
distingué	ADJ	B2	7.8
moustique	NOM	B2	7.8
poignet	NOM	B2	7.7
insecte	NOM	B2	7.7
chapelle	NOM	B2	7.6
parfaire	VER	B2	7.6
label	NOM	B2	7.6
canton	NOM	B2	7.5
chirurgie	NOM	B2	7.5
allée	NOM	B2	7.4
protéine	NOM	B2	7.4
galop	NOM	B2	7.3
éditer	VER	B2	7.2
molécule	NOM	B2	7.2
fixement	ADV	B2	7.1
vilain	ADJ	B2	7.0
polluer	VER	B2	7.0
terroir	NOM	B2	7.0
trier	VER	B2	7.0
délinquance	NOM	B2	7.0
senior	NOM	B2	7.0
émergence	NOM	B2	7.0
paroi	NOM	B2	6.9
estime	NOM	B2	6.9
parental	ADJ	B2	6.9
renouvelable	ADJ	B2	6.8
loge	NOM	B2	6.8
convoiter	VER	B2	6.7
désagréable	ADJ	B2	6.7
appétit	NOM	B2	6.7
paisible	ADJ	B2	6.7
locataire	NOM	B2	6.7
ores	ADV	B2	6.6
souche	NOM	B2	6.6
pédagogique	ADJ	B2	6.6
apparenter	VER	B2	6.6
soixantaine	NOM	B2	6.6
sublime	ADJ	B2	6.5
distraire	VER	B2	6.5
paradoxal	ADJ	B2	6.5
députer	VER	B2	6.4
instar	NOM	B2	6.4
neurone	NOM	B2	6.3
dense	ADJ	B2	6.3
munir	VER	B2	6.2
bâiller	VER	B2	6.2
top	NOM	B2	6.2
inventeur	NOM	B2	6.2
oxygène	NOM	B2	6.2
glacial	ADJ	B2	6.2
traître	NOM	B2	6.2
cardiaque	ADJ	B2	6.2
élevage	NOM	B2	6.2
diplômé	NOM	B2	6.2
tremper	VER	B2	6.2
appellation	NOM	B2	6.1
archéologique	ADJ	B2	6.1
minuscule	ADJ	B2	6.1
terroriser	VER	B2	6.0
indignation	NOM	B2	6.0
incontournable	ADJ	B2	6.0
abîme	NOM	B2	6.0
sida	NOM	B2	6.0
espion	NOM	B2	6.0
anecdote	NOM	B2	5.9
créatif	ADJ	B2	5.9
accompagnement	NOM	B2	5.9
velours	NOM	B2	5.9
commercialiser	VER	B2	5.8
couture	NOM	B2	5.8
paie	NOM	B2	5.8
pin	NOM	B2	5.8
résumé	NOM	B2	5.8
pilule	NOM	B2	5.7
réchauffer	VER	B2	5.7
aviaire	ADJ	B2	5.7
séjourner	VER	B2	5.7
réputer	VER	B2	5.7
antibiotique	NOM	B2	5.7
irruption	NOM	B2	5.6
côtoyer	VER	B2	5.6
métamorphoser	VER	B2	5.6
synthétiser	VER	B2	5.6
discrètement	ADV	B2	5.5
cuir	NOM	B2	5.5
parfumeur	NOM	B2	5.5
cabaret	NOM	B2	5.5
expatrier	VER	B2	5.4
hégémonie	NOM	B2	5.4
réalisme	NOM	B2	5.4
gâter	VER	B2	5.4
ludique	ADJ	B2	5.4
canard	NOM	B2	5.3
fureur	NOM	B2	5.3
terrifier	VER	B2	5.3
compagne	NOM	B2	5.3
non-fumeur	NOM	B2	5.3
stylo	NOM	B2	5.3
parité	NOM	B2	5.2
injection	NOM	B2	5.2
piqûre	NOM	B2	5.2
priori	ADV	B2	5.2
cendre	NOM	B2	5.2
décidément	ADV	B2	5.1
personnaliser	VER	B2	5.1
rituel	NOM	B2	5.1
attractif	ADJ	B2	5.1
compositeur	NOM	B2	5.1
conservatoire	NOM	B2	5.1
fosse	NOM	B2	5.0
étrangler	VER	B2	5.0
scolarité	NOM	B2	5.0
télévisuel	ADJ	B2	5.0
particule	NOM	B2	5.0
divertissement	NOM	B2	5.0
gentillesse	NOM	B2	5.0
trentenaire	ADJ	B2	5.0
psychiatre	NOM	B2	5.0
gage	NOM	B2	4.9
occasionnel	ADJ	B2	4.9
encombrer	VER	B2	4.9
prescription	NOM	B2	4.9
mobilier	NOM	B2	4.9
géographie	NOM	B2	4.9
redoubler	VER	B2	4.9
nerf	NOM	B2	4.9
orgueilleux	ADJ	B2	4.9
licencier	VER	B2	4.9
manier	VER	B2	4.8
inutilement	ADV	B2	4.8
limpide	ADJ	B2	4.8
agglomération	NOM	B2	4.8
gendre	NOM	B2	4.8
audace	NOM	B2	4.8
urbanisme	NOM	B2	4.8
verdure	NOM	B2	4.8
crocodile	NOM	B2	4.8
gémir	VER	B2	4.8
majoritairement	ADV	B2	4.8
revolver	NOM	B2	4.7
notaire	NOM	B2	4.7
soupirer	VER	B2	4.7
sentimental	ADJ	B2	4.7
baron	NOM	B2	4.7
pistolet	NOM	B2	4.7
migrateur	ADJ	B2	4.7
parure	NOM	B2	4.7
ingrédient	NOM	B2	4.7
torrent	NOM	B2	4.6
ramer	VER	B2	4.6
refrain	NOM	B2	4.6
séduisant	ADJ	B2	4.6
gourmand	ADJ	B2	4.6
intérim	NOM	B2	4.6
étonné	ADJ	B2	4.5
émigrer	VER	B2	4.5
supplice	NOM	B2	4.5
jumelle	ADJ	B2	4.5
couvent	NOM	B2	4.5
remords	NOM	B2	4.5
paresse	NOM	B2	4.5
maïs	NOM	B2	4.5
cortège	NOM	B2	4.5
index	NOM	B2	4.5
luxueux	ADJ	B2	4.5
hurlement	NOM	B2	4.4
continuel	ADJ	B2	4.4
orner	VER	B2	4.4
effrayant	ADJ	B2	4.4
psychanalyste	NOM	B2	4.4
sensibilisation	NOM	B2	4.4
électromagnétique	ADJ	B2	4.4
écosystème	NOM	B2	4.4
musculaire	ADJ	B2	4.4
pittoresque	ADJ	B2	4.3
tabagisme	NOM	B2	4.3
célébrité	NOM	B2	4.3
demi-siècle	NOM	B2	4.3
sauce	NOM	B2	4.2
comptoir	NOM	B2	4.2
dureté	NOM	B2	4.2
affiner	VER	B2	4.2
vitamine	NOM	B2	4.2
lueur	NOM	B2	4.2
impérial	ADJ	B2	4.2
filière	NOM	B2	4.2
monstrueux	ADJ	B2	4.2
déchaîner	VER	B2	4.2
gaspard	NOM	B2	4.2
éclatant	ADJ	B2	4.2
chêne	NOM	B2	4.2
bouchon	NOM	B2	4.2
adolescence	NOM	B2	4.2
sueur	NOM	B2	4.2
festif	ADJ	B2	4.2
tunisien	ADJ	B2	4.1
tempérer	VER	B2	4.1
pâlir	VER	B2	4.1
indéniable	ADJ	B2	4.1
thérapeutique	ADJ	B2	4.1
habitat	NOM	B2	4.1
bénévolat	NOM	B2	4.1
nuisance	NOM	B2	4.1
incrédule	ADJ	B2	4.1
sociabilité	NOM	B2	4.1
escalader	VER	B2	4.0
lectorat	NOM	B2	4.0
insertion	NOM	B2	4.0
confidence	NOM	B2	4.0
recréer	VER	B2	4.0
vignoble	NOM	B2	4.0
fourmi	NOM	B2	3.9
vicomte	NOM	B2	3.9
enflammer	VER	B2	3.9
admirateur	NOM	B2	3.9
garnir	VER	B2	3.9
scandinave	ADJ	B2	3.9
lustre	NOM	B2	3.9
défilé	NOM	B2	3.9
parfumer	VER	B2	3.9
étang	NOM	B2	3.9
bienfait	NOM	B2	3.9
digue	NOM	B2	3.8
natalité	NOM	B2	3.8
